row_id,org_raw,org_norm
38,ami chokshi / corp / enron,Ami Chokshi Corp Enron
38,enron,Enron
38,noms,Noms
38,hpl - jan,Hpl - Jan
38,xls,Xls
38,xls,Xls
39,"josey ranch nom
- - - - - - - - - - - - - - - - - - - - - - forwarded",Josey Ranch Nom - - - - - - - - - - - - - - - - - - - - - - Forwarded
39,vance l taylor / hou,Vance L Taylor Hou
39,josey ranch nom,Josey Ranch Nom
39,"hpl
12",Hpl 12
39,"tx 77056
voice mail",Tx 77056 Voice Mail
42,texas 77002,Texas 77002
42,"doc
- calpine",Doc - Calpine
42,doc,Doc
43,teco,Teco
44,cico oil & gas co .,Cico Oil & Gas Co
45,enron,Enron
45,samson lone star,Samson Lone Star
49,"canedy , frank",Canedy Frank
49,"karamie
carrigan",Karamie Carrigan
49,brenda,Brenda
49,florence,Florence
49,"crum , lesley",Crum Lesley
49,sace brown,Sace Brown
49,aol,Aol
49,"terree
skovack",Terree Skovack
49,aol,Aol
49,aol,Aol
49,walrus,Walrus
49,morganj,Morganj
49,aol,Aol
49,yahoo,Yahoo
49,phila,Phila
49,hmurray,Hmurray
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,yahoo,Yahoo
49,aol,Aol
49,aol,Aol
49,syscom - inc,Syscom - Inc
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,att,Att
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,kmccleod @ yahoo,Kmccleod Yahoo
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,moseley,Moseley
49,clarke - porter,Clarke - Porter
49,sepulveda,Sepulveda
49,toro,Toro
49,aol,Aol
49,nyu,Nyu
49,nyu,Nyu
49,nyu,Nyu
49,nyu,Nyu
49,stevens - tech,Stevens - Tech
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,aol,Aol
49,yahoo,Yahoo
49,janelle mccan,Janelle Mccan
49,abercrombie,Abercrombie
49,janelle,Janelle
54,pg & e,Pg & E
54,pg & e texas,Pg & E Texas
54,pg & e texas bulletin board,Pg & E Texas Bulletin Board
54,pg & e texas,Pg & E Texas
54,pg & e texas,Pg & E Texas
54,pg & e,Pg & E
54,pg & e,Pg & E
54,ena ,Ena
54,ena,Ena
55,daren / o ',Daren O
56,: hill,Hill
56,tenaska,Tenaska
56,lone star,Lone Star
57,teco,Teco
57,teco,Teco
57,teco,Teco
57,enron,Enron
58,enron,Enron
58,enron,Enron
61,txu,Txu
61,txu,Txu
61,enron,Enron
61,enron,Enron
61,enron,Enron
61,txu,Txu
62,aquila,Aquila
62,aquila dallas,Aquila Dallas
62,el paso,El Paso
63,enron,Enron
64,chevron phillips chemical co .,Chevron Phillips Chemical Co
64,chevron phillips chemical co .,Chevron Phillips Chemical Co
64,chevron phillips chemical co .,Chevron Phillips Chemical Co
64,chevron phillips chemical co .,Chevron Phillips Chemical Co
64,chevron phillips chemical co .,Chevron Phillips Chemical Co
64,tess ray / enron,Tess Ray Enron
64,chevron phillips chemical co .,Chevron Phillips Chemical Co
64,enron,Enron
64,tx,Tx
65,xls,Xls
65,xls,Xls
67,anna cola,Anna Cola
67,texaco,Texaco
67,midcon texas,Midcon Texas
67,doc,Doc
72,enron capital & trade resources corp .,Enron Capital & Trade Resources Corp
72,xls,Xls
73,yamaha,Yamaha
73,klipsch,Klipsch
76,enron,Enron
76,enron,Enron
76,enron,Enron
76,enron transportation services,Enron Transportation Services
76,enron,Enron
76,enron,Enron
76,enron corp .,Enron Corp
76,enron corp .,Enron Corp
76,enron,Enron
77,megan parker / corp / enron,Megan Parker Corp Enron
77,tenaska,Tenaska
77,tenaska,Tenaska
77,tenaska,Tenaska
77,tenaska,Tenaska
77,tenaska,Tenaska
78,enron,Enron
79,enron,Enron
79,enron,Enron
79,enron,Enron
79,daren .,Daren
79,enron,Enron
79,txu,Txu
79,enron,Enron
79,enron,Enron
79,enron,Enron
79,enron,Enron
79,enron,Enron
79,smith @ enron,Smith Enron
80,enron,Enron
80,enron corp .,Enron Corp
80,enron corp .,Enron Corp
80,enron,Enron
80,enron,Enron
80,enron corp .,Enron Corp
81,ami chokshi / corp / enron,Ami Chokshi Corp Enron
81,ami chokshi / corp / enron,Ami Chokshi Corp Enron
81,enron,Enron
81,xls,Xls
81,xls,Xls
82,enron,Enron
82,enron,Enron
83,xls,Xls
83,xls,Xls
87,enron nom,Enron Nom
87,xls,Xls
87,xls,Xls
96,valero,Valero
97,xls,Xls
97,xls,Xls
99,"mobil beaumont
brian nichols",Mobil Beaumont Brian Nichols
99,exxonmobil,Exxonmobil
101,"james marks mitchell robinson
john lang dave duran",James Marks Mitchell Robinson John Lang Dave Duran
105,beaumont methanol,Beaumont Methanol
105,noms,Noms
107,enron,Enron
108,ami chokshi / corp / enron,Ami Chokshi Corp Enron
108,ami chokshi / corp / enron,Ami Chokshi Corp Enron
108,enron,Enron
108,xls,Xls
108,xls,Xls
111,cox exploration on pg & e,Cox Exploration On Pg & E
111,cox exploration,Cox Exploration
113,enron,Enron
113,falbaum / hou,Falbaum Hou
113,mitchell gas services,Mitchell Gas Services
113,hsc - 0,Hsc - 0
116,enron,Enron
116,enron north america,Enron North America
117,"lindholm oil , inc .",Lindholm Oil Inc
118,noms,Noms
120,xls,Xls
120,xls,Xls
121,txu,Txu
121,xls,Xls
121,xls,Xls
122,txu,Txu
122,txu,Txu
122,txu,Txu
122,txu,Txu
122,enron,Enron
122,enron,Enron
122,enron,Enron
122,txu,Txu
123,"oaks
daren",Oaks Daren
123,clem cernosek,Clem Cernosek
125,enron,Enron
127,"exxon company ,",Exxon Company
127,houston pipe line,Houston Pipe Line
127,emv,Emv
130,noms,Noms
132,lotus,Lotus
133,enron,Enron
133,enron,Enron
133,noms,Noms
136,enron,Enron
136,enron,Enron
136,"clem
cernosek / hou",Clem Cernosek Hou
136,mccoy / corp / enron,Mccoy Corp Enron
136,enron,Enron
136,enron,Enron
136,enron,Enron
136,lauri,Lauri
136,allen / hou,Allen Hou
136,enron,Enron
136,enron,Enron
136,"clem
cernosek / hou",Clem Cernosek Hou
136,mccoy / corp / enron,Mccoy Corp Enron
136,enron,Enron
136,enron,Enron
136,enron,Enron
136,lauri,Lauri
136,allen / hou,Allen Hou
140,juliann kemp,Juliann Kemp
140,enron,Enron
140,megan parker / corp / enron,Megan Parker Corp Enron
140,enron,Enron
142,lauri,Lauri
142,allen / hou,Allen Hou
142,lauri,Lauri
142,allen / hou,Allen Hou
142,lauri,Lauri
142,"allen
12 / 19 / 2000 10",Allen 12 19 2000 10
142,lauri,Lauri
142,allen / hou,Allen Hou
142,lauri,Lauri
142,allen / hou,Allen Hou
142,"allen
12",Allen 12
142,enron,Enron
142,noms,Noms
143,megan parker / corp / enron,Megan Parker Corp Enron
143,enron,Enron
143,enron north america corp .,Enron North America Corp
143,enron,Enron
148,enron,Enron
148,keyboards,Keyboards
148,"e
jennifer sabine 3206",E Jennifer Sabine 3206
149,ami chokshi / corp / enron,Ami Chokshi Corp Enron
149,ami chokshi / corp / enron,Ami Chokshi Corp Enron
149,enron,Enron
149,hpl - jan,Hpl - Jan
149,xls,Xls
149,xls,Xls
151,luong / hou,Luong Hou
151,hanks / hou,Hanks Hou
151,enron,Enron
151,enron,Enron
151,the sitara deal #,The Sitara Deal
151,enron,Enron
151,houston ship channel,Houston Ship Channel
151,enron,Enron
151,enron,Enron
151,"rita
wynne / hou",Rita Wynne Hou
151,brandywine,Brandywine
151,enron,Enron
151,"rita
wynne / hou",Rita Wynne Hou
151,hanks / hou,Hanks Hou
151,enron,Enron
151,brandywine,Brandywine
155,ga,Ga
155,vance l taylor / hou,Vance L Taylor Hou
155,ga,Ga
155,ga,Ga
155,ga,Ga
155,"vlt
daren j",Vlt Daren J
155,vance l taylor / hou,Vance L Taylor Hou
155,ga,Ga
155,ga,Ga
155,vance l taylor / hou,Vance L Taylor Hou
155,enron,Enron
155,enron,Enron
155,vance l taylor / hou,Vance L Taylor Hou
155,enron,Enron
155,ga,Ga
155,ga,Ga
155,hms,Hms
160,"katherine benedict
04 / 17 / 2000",Katherine Benedict 04 17 2000
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,scott josey / corp / enron,Scott Josey Corp Enron
160,enron,Enron
160,"john
thompson / corp / enron",John Thompson Corp Enron
160,enron,Enron
160,"candace l
bywaters",Candace L Bywaters
160,robert eickenroht / corp / enron @ enron,Robert Eickenroht Corp Enron Enron
160,falbaum / hou,Falbaum Hou
160,nathan l hlavaty / hou,Nathan L Hlavaty Hou
160,scott,Scott
160,monson / hou,Monson Hou
160,"justin
rostant / hou",Justin Rostant Hou
160,hanks / hou,Hanks Hou
160,xochitl - alexis velasco / hou,Xochitl - Alexis Velasco Hou
160,lauri,Lauri
160,allen / hou,Allen Hou
160,lauri,Lauri
160,allen / hou,Allen Hou
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,martin / hou,Martin Hou
160,enron,Enron
160,theresa staab / corp / enron,Theresa Staab Corp Enron
160,enron,Enron
160,scoyk / corp / enron,Scoyk Corp Enron
160,enron,Enron
160,enron,Enron
160,"kimberly
vaughn / hou",Kimberly Vaughn Hou
160,enron,Enron
160,enron,Enron
160,"mark
whitt",Mark Whitt
160,enron,Enron
160,cassandra pollack / corp / enron,Cassandra Pollack Corp Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,"rodney
rogers / gco / enron @ enron",Rodney Rogers Gco Enron Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,"vicente
sarmiento / gco / enron @ enron",Vicente Sarmiento Gco Enron Enron
160,enron,Enron
160,"gayle
pritchard / gco / enron @ enron",Gayle Pritchard Gco Enron Enron
160,ots / enron @ enron,Ots Enron Enron
160,enron,Enron
160,ots / enron @ enron,Ots Enron Enron
160,enron,Enron
160,enron,Enron
160,"david
sinclair / ots / enron @ enron",David Sinclair Ots Enron Enron
160,enron,Enron
160,acosta / ots / enron @ enron,Acosta Ots Enron Enron
160,"ken
parker / hou",Ken Parker Hou
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,porche / gco / enron @ enron,Porche Gco Enron Enron
160,enron,Enron
160,"jacob
krautsch",Jacob Krautsch
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,hinze / corp / enron @ enron,Hinze Corp Enron Enron
160,enron,Enron
160,ots / enron @ enron,Ots Enron Enron
160,ots / enron @ enron,Ots Enron Enron
160,"kelley
myers / gco / enron @ enron",Kelley Myers Gco Enron Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,enron,Enron
160,macivor / corp / enron @ enron,Macivor Corp Enron Enron
160,washington / hou,Washington Hou
161,xls,Xls
161,xls,Xls
166,"sitara
106736",Sitara 106736
167,ena,Ena
167,print &,Print &
167,clem cernosek,Clem Cernosek
168,ami chokshi / corp / enron,Ami Chokshi Corp Enron
168,xls,Xls
169,camden & north central,Camden & North Central
170,"matt / ben :
i am",Matt Ben I Am
171,cfp,Cfp
171,byronellis @ usa,Byronellis Usa
171,clu,Clu
171,american express financial advisors,American Express Financial Advisors
171,tx 77380,Tx 77380
171,byronellis @ usa .,Byronellis Usa
172,"josey ranch nom
daren",Josey Ranch Nom Daren
174,eastrans,Eastrans
174,redeliveries,Redeliveries
177,teco,Teco
183,enron,Enron
183,hanks / hou,Hanks Hou
183,enron north america corp .,Enron North America Corp
183,enron,Enron
183,hanks / hou,Hanks Hou
183,enron,Enron
183,hanks / hou,Hanks Hou
183,enron north america corp .,Enron North America Corp
183,enron,Enron
183,hanks / hou,Hanks Hou
183,enron,Enron
185,hanks / hou,Hanks Hou
187,enron,Enron
187,enron,Enron
188,teco,Teco
188,teco,Teco
188,teco,Teco
190,"joanie h ngo
04 / 16 / 2001 10",Joanie H Ngo 04 16 2001 10
190,katherine herrera / corp / enron,Katherine Herrera Corp Enron
190,enron,Enron
190,joanie h ngo / hou,Joanie H Ngo Hou
190,katherine herrera / corp / enron,Katherine Herrera Corp Enron
190,enron,Enron
190,joanie h ngo / hou,Joanie H Ngo Hou
190,enron,Enron
190,ena & hplc,Ena & Hplc
190,ena wellhead,Ena Wellhead
190,enron,Enron
190,katherine herrera / corp / enron,Katherine Herrera Corp Enron
190,enron,Enron
190,katherine herrera / corp / enron,Katherine Herrera Corp Enron
190,enron,Enron
190,egm,Egm
194,pan energy ' s,Pan Energy S
194,katherine,Katherine
194,katherine herrera / corp / enron,Katherine Herrera Corp Enron
194,katherine herrera / corp / enron,Katherine Herrera Corp Enron
194,enron,Enron
194,katherine,Katherine
194,enron,Enron
194,katherine herrera / corp / enron,Katherine Herrera Corp Enron
194,katherine herrera / corp / enron,Katherine Herrera Corp Enron
194,enron,Enron
194,katherine,Katherine
196,enron,Enron
197,"rincon petroleum corp
tom",Rincon Petroleum Corp Tom
197,rincon petroleum corporation,Rincon Petroleum Corp
198,ami chokshi / corp / enron,Ami Chokshi Corp Enron
198,xls,Xls
202,teco,Teco
202,enron,Enron
203,enron,Enron
203,bruce,Bruce
203,enron,Enron
203,speckels,Speckels
203,enron,Enron
203,speckels,Speckels
203,cass / gcs / cec,Cass Gcs Cec
203,eastrans to 65,Eastrans To 65
205,romeo d ',Romeo D
205,enron,Enron
205,romeo d ',Romeo D
205,wells @ enron,Wells Enron
205,dba @ enron,Dba Enron
205,aurora,Aurora
205,"dcfprod
popprod",Dcfprod Popprod
206,texas 77002,Texas 77002
206,doc,Doc
207,hodge,Hodge
209,enron north america corp .,Enron North America Corp
209,martin / hou,Martin Hou
209,jim pond / corp / enron,Jim Pond Corp Enron
209,enron,Enron
209,hpl ,Hpl
210,ami chokshi / corp / enron,Ami Chokshi Corp Enron
210,ami chokshi / corp / enron,Ami Chokshi Corp Enron
210,enron,Enron
210,hpl - feb,Hpl - Feb
210,xls,Xls
210,xls,Xls
211,enron capital & trade resources corp .,Enron Capital & Trade Resources Corp
211,xls,Xls
212,ami chokshi / corp / enron,Ami Chokshi Corp Enron
212,enron,Enron
212,noms,Noms
212,hpl - feb,Hpl - Feb
212,xls,Xls
212,xls,Xls
214,chan,Chan
215,the bankruptcy management committee,The Bankruptcy Management Committee
215,enron,Enron
215,"trustee
ernst & young",Trustee Ernst & Young
215,howard & zukin financial advisors,Howard & Zukin Financial Advisors
215,blackstone financial advisors,Blackstone Financial Advisors
215,enron,Enron
215,enron,Enron
215,enron,Enron
215,milbank,Milbank
215,kurth,Kurth
215,enron corp,Enron Corp
215,the bankruptcy management committee,The Bankruptcy Management Committee
217,cass / gcs / cec / pec,Cass Gcs Cec Pec
217,mobil,Mobil
217,tenn sabine 15000,Tenn Sabine 15000
220,xls,Xls
220,xls,Xls
222,hl & p,Hl & P
225,p & l,P & L
225,mips,Mips
225,mips,Mips
225,mips,Mips
225,mips,Mips
225,mips,Mips
226,enron capital & trade resources corp .,Enron Capital & Trade Resources Corp
226,xls,Xls
227,daren / dave -,Daren Dave -
227,xls,Xls
228,teco,Teco
230,josey ranch nom,Josey Ranch Nom
230,texaco,Texaco
230,enron,Enron
230,lauri,Lauri
230,"josey ranch nom
- - - - - - - - - - - - - - - - - - - - - - forwarded",Josey Ranch Nom - - - - - - - - - - - - - - - - - - - - - - Forwarded
230,"knox
westmoreland",Knox Westmoreland
230,josey ranch nom,Josey Ranch Nom
230,hpl,Hpl
230,texaco,Texaco
230,kcs,Kcs
230,"tx 77056
voice mail",Tx 77056 Voice Mail
234,enron,Enron
234,enron,Enron
234,"lpg
erik hansen",Lpg Erik Hansen
234,stuart,Stuart
234,randy ,Randy
234,enron,Enron
234,enron,Enron
234,enron ,Enron
235,enron,Enron
235,"scott
mills / hou",Scott Mills Hou
235,sitara &,Sitara &
235,enron,Enron
235,jason althaus / corp / enron,Jason Althaus Corp Enron
235,enron,Enron
235,"jason
althaus / corp / enron",Jason Althaus Corp Enron
235,enron,Enron
235,nat,Nat
235,nat,Nat
237,hpl ' s,Hpl S
237,clem cernosek,Clem Cernosek
238,jennifer / darren,Jennifer Darren
238,lsp,Lsp
238,abb alstom power inc,Abb Alstom Power Inc
240,xls,Xls
240,xls,Xls
245,chevron phillips chemical co .,Chevron Phillips Chemical Co
245,chevron phillips chemical co .,Chevron Phillips Chemical Co
245,chevron phillips chemical co .,Chevron Phillips Chemical Co
245,chevron phillips chemical co .,Chevron Phillips Chemical Co
245,chevron phillips chemical co .,Chevron Phillips Chemical Co
245,tess ray / enron,Tess Ray Enron
245,chevron phillips chemical co .,Chevron Phillips Chemical Co
245,enron,Enron
245,tx,Tx
247,enron,Enron
247,"trisha
hughes / hou",Trisha Hughes Hou
249,buddy - daren,Buddy - Daren
251,enron capital & trade resources corp .,Enron Capital & Trade Resources Corp
251,xls,Xls
254,sec,Sec
254,the securities and exchange commission,The Securities And Exchange Commission
254,sec,Sec
254,the enron board of directors,The Enron Board Of Directors
254,enron,Enron
254,enron,Enron
254,enron,Enron
254,enron,Enron
254,sec,Sec
254,sec,Sec
254,enron,Enron
254,enron,Enron
254,enron,Enron
254,enron,Enron
254,enron,Enron
254,enron,Enron
254,enron,Enron
262,daren - pat,Daren - Pat
263,ec 335,Ec 335
263,ami chokshi / corp / enron,Ami Chokshi Corp Enron
263,ec 335,Ec 335
263,"xls
- smi 23 reveffo 61000",Xls - Smi 23 Reveffo 61000
263,xls,Xls
265,teco,Teco
267,xls,Xls
267,xls,Xls
268,vance l taylor / hou,Vance L Taylor Hou
269,ami chokshi / corp / enron,Ami Chokshi Corp Enron
269,xls,Xls
277,the supreme court,The Supreme Court
277,"the supreme
court",The Supreme Court
278,"ena upstream
hi",Ena Upstream Hi
278,holland & davis,Holland & Davis
279,enron,Enron
279,enron,Enron
279,enron,Enron
279,"clem
cernosek / hou",Clem Cernosek Hou
279,mccoy / corp / enron,Mccoy Corp Enron
279,enron,Enron
279,enron,Enron
279,enron,Enron
279,lauri,Lauri
279,allen / hou,Allen Hou
282,xls,Xls
282,xls,Xls
283,enron methanol,Enron Methanol
283,lst & 2 nd 32,Lst & 2 Nd 32
283,morgan ' s,Morgan S
285,exxon katy,Exxon Katy
285,xls,Xls
285,xls,Xls
285,xls,Xls
286,hl & p,Hl & P
287,enron,Enron
287,enron,Enron
288,xls,Xls
288,xls,Xls
289,enron capital & trade resources corp .,Enron Capital & Trade Resources Corp
289,enron,Enron
289,xls,Xls
290,enron,Enron
290,enron,Enron
290,pg & e ',Pg & E
292,enron north america corp .,Enron North America Corp
292,enron,Enron
292,ena,Ena
292,ena,Ena
293,enron,Enron
294,enron methanol,Enron Methanol
297,tenaska,Tenaska
297,tenaska,Tenaska
297,megan parker / corp / enron,Megan Parker Corp Enron
297,megan parker / corp / enron,Megan Parker Corp Enron
297,enron,Enron
297,tenaska,Tenaska
297,apache corp 1,Apache Corp 1
297,txu,Txu
299,ami chokshi / corp / enron,Ami Chokshi Corp Enron
299,enron,Enron
299,enron,Enron
299,xls,Xls
299,xls,Xls
299,xls,Xls
300,teco,Teco
300,enron,Enron
302,enron,Enron
302,enron,Enron
303,enron,Enron
303,enron,Enron
303,noms,Noms
304,enron,Enron
304,enron,Enron
306,gop,Gop
306,gop,Gop
306,gop,Gop
306,united republican fund,United Republican Fund
306,the white house,The White House
306,senate,Senate
306,senate,Senate
306,capitol switchboard,Capitol Switchboard
306,boston globe,Boston Globe
306,boston herald,Boston Herald
306,chicago sun - times,Chicago Sun - Times
306,chicago tribune ( 800,Chicago Tribune 800
306,aol,Aol
306,new york times,New York Times
306,abc e - mail,Abc E - Mail
306,abc,Abc
306,abc,Abc
306,cnn,Cnn
306,cbs,Cbs
306,msnbc e - mail,Msnbc E - Mail
306,msnbc,Msnbc
306,nbc nbc - nightly news,Nbc Nbc - Nightly News
306,nbc,Nbc
306,nbc,Nbc
306,nbc,Nbc
306,houston business journal,Houston Business Journal
307,teco,Teco
307,enron,Enron
308,katherine herrera @ enron,Katherine Herrera Enron
309,partner ltd .,Partner Ltd
309,tenaska,Tenaska
309,txu / lonestar,Txu Lonestar
311,redeliveries,Redeliveries
312,ami chokshi / corp / enron,Ami Chokshi Corp Enron
312,ami chokshi / corp / enron,Ami Chokshi Corp Enron
312,enron,Enron
315,enron,Enron
315,enron,Enron
315,enron,Enron
316,kgpl / hpl,Kgpl Hpl
319,enron,Enron
319,shoreline gas inc .,Shoreline Gas Inc
319,vance l taylor / hou,Vance L Taylor Hou
319,nathan l hlavaty / hou,Nathan L Hlavaty Hou
319,lauri,Lauri
319,allen / hou,Allen Hou
319,enron,Enron
319,enron,Enron
319,"darron c
giron / hou",Darron C Giron Hou
319,hanks / hou,Hanks Hou
319,vance l taylor / hou,Vance L Taylor Hou
319,enron,Enron
319,enron,Enron
319,enron,Enron
319,enron,Enron
319,shoreline gas inc .,Shoreline Gas Inc
320,texaco,Texaco
321,redeliveries,Redeliveries
321,pg & e,Pg & E
321,cass / gcs / cec,Cass Gcs Cec
321,speckels,Speckels
321,enron,Enron
321,enron,Enron
321,"connie
wester / easttexas / pefs",Connie Wester Easttexas Pefs
321,cass / gcs / cec,Cass Gcs Cec
321,speckels,Speckels
321,enron,Enron
321,enron,Enron
321,"connie
wester / easttexas / pefs",Connie Wester Easttexas Pefs
321,redeliveries,Redeliveries
321,pg & e,Pg & E
323,enron,Enron
323,enron capital & trade resources corp .,Enron Capital & Trade Resources Corp
323,enron,Enron
323,enron,Enron
323,xls,Xls
325,ami chokshi / corp / enron,Ami Chokshi Corp Enron
325,ami chokshi / corp / enron,Ami Chokshi Corp Enron
325,enron,Enron
325,the devon south texas,The Devon South Texas
325,xls,Xls
326,enron,Enron
326,teco,Teco
326,lsp,Lsp
326,enron,Enron
328,gcp _ ena,Gcp _ Ena
328,scott mills 08,Scott Mills 08
328,schulte / corp / enron @ enron,Schulte Corp Enron Enron
328,enron,Enron
330,xls,Xls
330,xls,Xls
332,xls,Xls
332,xls,Xls
337,xls,Xls
337,xls,Xls
338,enron,Enron
338,enron capital & trade resources corp .,Enron Capital & Trade Resources Corp
338,enron,Enron
338,el paso under enron,El Paso Under Enron
338,"teco
5",Teco 5
338,pg & e,Pg & E
338,the california public utilities commission,The California Public Utilities Commission
339,ami chokshi / corp / enron,Ami Chokshi Corp Enron
339,ami chokshi / corp / enron,Ami Chokshi Corp Enron
342,enron,Enron
342,enron,Enron
342,pg & e texas,Pg & E Texas
342,pg & e,Pg & E
342,questar,Questar
342,"williston
east - cove",Williston East - Cove
342,columbia gas,Columbia Gas
343,xls,Xls
343,mtd,Mtd
347,xls,Xls
347,xls,Xls
348,xls,Xls
348,xls,Xls
349,enron corp,Enron Corp
349,enron,Enron
349,ena,Ena
349,enron,Enron
349,enron ,Enron
349,enron,Enron
351,teco,Teco
351,enron,Enron
352,tx,Tx
352,enron,Enron
352,ena,Ena
355,pg & e,Pg & E
355,bayer,Bayer
355,pg & e,Pg & E
355,teco,Teco
356,xls,Xls
356,xls,Xls
356,xls,Xls
357,tenaska,Tenaska
357,tenaska,Tenaska
357,tenaska,Tenaska
357,katherine herrera / corp / enron,Katherine Herrera Corp Enron
357,katherine herrera / corp / enron,Katherine Herrera Corp Enron
357,enron,Enron
357,enron,Enron
357,enron,Enron
357,mccoy / corp / enron,Mccoy Corp Enron
357,enron,Enron
357,tenaska,Tenaska
357,tenaska,Tenaska
357,tenaska,Tenaska
357,tenaska,Tenaska
357,tenaska,Tenaska
358,xls,Xls
358,xls,Xls
360,xls,Xls
360,xls,Xls
361,enron,Enron
362,xls,Xls
362,xls,Xls
364,microsoft,Microsoft
365,eastrans,Eastrans
365,redeliveries,Redeliveries
367,xls,Xls
368,: hill,Hill
368,tenaska,Tenaska
368,ena,Ena
368,ena,Ena
368,tenaska,Tenaska
368,tenaska,Tenaska
368,enron,Enron
369,aep,Aep
369,ena,Ena
369,tejas gas - daren,Tejas Gas - Daren
371,enron,Enron
371,enron,Enron
371,ami chokshi / corp / enron,Ami Chokshi Corp Enron
371,enron,Enron
371,megan parker / corp / enron,Megan Parker Corp Enron
371,enron,Enron
371,nelson ferries / corp / enron @ enron,Nelson Ferries Corp Enron Enron
371,enron,Enron
371,ces - duke,Ces - Duke
371,enron,Enron
371,megan parker / corp / enron,Megan Parker Corp Enron
371,enron,Enron
371,nelson ferries / corp / enron,Nelson Ferries Corp Enron
371,enron,Enron
371,ami chokshi / corp / enron,Ami Chokshi Corp Enron
371,ami chokshi / corp / enron,Ami Chokshi Corp Enron
371,enron,Enron
374,enron,Enron
374,enron,Enron
374,enron,Enron
374,enron,Enron
374,hpl ' s,Hpl S
375,friedman / hou,Friedman Hou
375,pamela chambers / corp / enron,Pamela Chambers Corp Enron
375,enron,Enron
375,altra gms,Altra Gms
375,enron,Enron
375,enron,Enron
375,enron,Enron
375,enron,Enron
375,altra gms,Altra Gms
375,ena,Ena
375,xls,Xls
378,xls,Xls
378,xls,Xls
379,tenaska,Tenaska
379,tenaska,Tenaska
379,tenaska,Tenaska
379,enron,Enron
379,tenaska,Tenaska
379,noms,Noms
379,tenaska,Tenaska
380,noms,Noms
